id	HS	TR	AG
903	0	0	0
8330	0	0	0
5437	1	1	1
5695	0	0	0
2495	0	0	0
8758	0	0	0
5789	1	0	1
1587	0	0	0
4757	1	1	0
683	1	0	1
5167	0	0	0
860	0	0	0
8060	0	0	0
7493	0	0	0
1920	1	0	0
4396	1	0	0
6664	0	0	0
2920	1	0	0
678	1	0	1
6519	0	0	0
1220	0	0	0
6357	1	0	0
2548	0	0	0
538	1	0	1
2781	0	0	0
811	1	0	0
6168	1	1	0
4570	1	0	1
8292	1	1	0
2530	0	0	0
4326	1	0	0
7930	0	0	0
458	1	0	0
3434	1	0	1
6761	1	0	1
5552	1	1	0
8278	0	0	0
2392	1	0	1
1291	0	0	0
5817	1	0	0
6113	0	0	0
2512	0	0	0
7586	0	0	0
3253	1	0	1
7329	0	0	0
2672	1	0	0
8104	0	0	0
3088	1	0	1
783	1	0	0
5872	0	0	0
1488	0	0	0
7701	0	0	0
544	0	0	0
7918	0	0	0
4367	1	0	0
8951	1	1	0
615	0	0	0
8149	1	0	0
805	0	0	0
1394	1	0	0
3770	0	0	0
5882	1	1	0
4174	1	0	0
4185	1	0	0
8004	1	1	0
7650	0	0	0
924	0	0	0
2414	1	0	0
6867	0	0	0
6324	1	1	0
4577	1	0	0
5471	1	1	0
4035	1	0	1
3852	0	0	0
5871	1	1	0
6568	0	0	0
6622	0	0	0
4766	1	1	0
410	0	0	0
4634	0	0	0
2584	0	0	0
1212	0	0	0
8935	0	0	0
8502	0	0	0
6231	1	1	0
5528	1	0	0
2157	1	0	1
6588	0	0	0
5208	1	0	0
4951	1	1	0
7295	0	0	0
2287	0	0	0
908	0	0	0
7743	0	0	0
1330	1	0	1
331	1	0	1
2799	1	0	1
3618	0	0	0
3590	1	0	0
9144	0	0	0
1288	0	0	0
7437	0	0	0
5324	1	1	0
5397	1	1	0
551	1	0	0
5146	1	1	1
3220	0	0	0
6822	0	0	0
2864	0	0	0
2715	0	0	0
2570	0	0	0
1300	0	0	0
2843	0	0	0
4006	0	0	0
220	0	0	0
418	0	0	0
8094	0	0	0
4613	0	0	0
4142	1	0	1
8531	0	0	0
1590	1	0	1
5625	0	0	0
7730	1	1	0
7712	0	0	0
3822	0	0	0
2295	0	0	0
4950	1	1	0
695	0	0	0
5021	0	0	0
1996	0	0	0
8129	0	0	0
2973	1	0	0
7240	0	0	0
4866	1	0	0
2198	0	0	0
2152	0	0	0
209	0	0	0
2696	1	0	0
611	0	0	0
8249	1	1	0
7833	1	0	0
7222	0	0	0
7017	0	0	0
6382	1	1	0
1787	0	0	0
2820	0	0	0
7285	0	0	0
7816	0	0	0
2529	0	0	0
2817	1	1	0
2608	0	0	0
7808	0	0	0
7839	0	0	0
5464	1	1	0
7579	0	0	0
6152	1	1	0
6591	0	0	0
5898	1	1	0
3916	0	0	0
4997	0	0	0
5123	1	0	0
823	1	0	0
6979	0	0	0
6992	0	0	0
6414	1	1	0
6139	1	1	0
3244	0	0	0
6599	0	0	0
5621	0	0	0
4156	0	0	0
3842	1	0	0
7570	0	0	0
1139	1	0	1
8363	0	0	0
2311	1	0	1
5386	0	0	0
3457	0	0	0
679	1	0	1
3937	0	0	0
2136	0	0	0
3107	0	0	0
1028	1	0	1
1527	1	0	1
2192	0	0	0
661	0	0	0
6868	0	0	0
3310	0	0	0
7547	0	0	0
2115	0	0	0
6108	1	0	0
3734	0	0	0
6521	0	0	0
3060	0	0	0
2478	1	0	0
2314	1	0	1
7487	0	0	0
6725	1	1	1
3994	0	0	0
6019	1	1	0
7536	0	0	0
3855	1	0	0
8047	1	1	0
3859	1	0	0
5526	1	0	1
4633	1	0	1
4829	1	0	0
8362	0	0	0
5277	1	1	0
3141	0	0	0
2190	1	0	1
7023	0	0	0
2072	1	0	1
8581	1	1	0
8745	0	0	0
278	0	0	0
2613	0	0	0
7843	0	0	0
2188	1	0	1
5756	1	0	1
7723	0	0	0
5177	1	0	0
7583	0	0	0
6281	1	0	0
8408	0	0	0
4780	1	1	0
4913	1	1	1
6248	0	0	0
7827	1	1	0
8626	1	0	0
2755	0	0	0
9069	1	0	1
8396	0	0	0
4148	1	1	0
5165	0	0	0
5130	1	1	1
6404	1	1	0
6258	1	1	1
8928	1	0	1
1642	1	0	0
359	0	0	0
8776	0	0	0
4922	1	1	1
3630	0	0	0
8383	0	0	0
315	0	0	0
6420	0	0	0
6544	0	0	0
7322	0	0	0
5736	1	0	0
4259	0	0	0
4004	1	0	0
7501	0	0	0
1706	1	0	0
8484	1	1	0
4545	0	0	0
5064	1	0	0
1382	1	0	1
1908	1	0	1
5494	1	1	1
7511	0	0	0
1182	0	0	0
3714	0	0	0
7021	0	0	0
8370	0	0	0
8555	1	1	0
